county_fips_full,hurricane_count_5yr,severe_storm_count_5yr,flood_count_5yr,fire_count_5yr,coastal_storm_count_5yr,tropical_storm_count_5yr,tornado_count_5yr,climate_event_count_5yr
13277,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13279,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13283,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13287,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13289,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13303,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13305,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13307,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13309,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13311,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
13315,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13319,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
13321,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
15001,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
15003,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
15007,4.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0
15009,4.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0
22001,9.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0
22003,10.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0
22005,10.0,0.0,1.0,0.0,3.0,0.0,0.0,14.0
22007,10.0,0.0,3.0,0.0,3.0,0.0,0.0,16.0
22009,8.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0
22011,9.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0
22013,8.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0
22015,8.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0
22017,8.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0
22019,9.0,0.0,1.0,0.0,3.0,0.0,0.0,13.0
22021,8.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0
22023,10.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0
22025,8.0,0.0,2.0,0.0,3.0,0.0,0.0,13.0
22027,8.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0
22029,8.0,0.0,2.0,0.0,3.0,0.0,0.0,13.0
22031,8.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0
22033,10.0,0.0,1.0,0.0,3.0,0.0,0.0,14.0
22035,8.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0
22037,10.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0
22039,9.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0
22041,8.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0
22043,8.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0
22045,10.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0
22047,10.0,0.0,3.0,0.0,3.0,0.0,0.0,16.0
22049,8.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0
22051,10.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0
22053,9.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0
