NAME,B25077_001E,B19013_001E,B01003_001E,state,county
"Dundy County, Nebraska",109900,58977,1825,31,057
"Fillmore County, Nebraska",122700,72335,5557,31,059
"Franklin County, Nebraska",95400,55625,2901,31,061
"Frontier County, Nebraska",124500,62928,2491,31,063
"Furnas County, Nebraska",85600,58895,4630,31,065
"Gage County, Nebraska",155600,60035,21654,31,067
"Garden County, Nebraska",91700,47139,1778,31,069
"Garfield County, Nebraska",123500,64957,1833,31,071
"Gosper County, Nebraska",192100,76583,1873,31,073
"Grant County, Nebraska",104200,65139,649,31,075
"Greeley County, Nebraska",85300,52813,2212,31,077
"Hall County, Nebraska",190800,63553,62575,31,079
"Hamilton County, Nebraska",201200,73254,9400,31,081
"Harlan County, Nebraska",135800,64583,3094,31,083
"Hayes County, Nebraska",104800,59405,919,31,085
"Hitchcock County, Nebraska",85500,49456,2620,31,087
"Holt County, Nebraska",148900,66325,10149,31,089
"Hooker County, Nebraska",78300,43333,659,31,091
"Howard County, Nebraska",181600,70766,6476,31,093
"Jefferson County, Nebraska",116700,54494,7185,31,095
"Johnson County, Nebraska",117300,64352,5294,31,097
"Kearney County, Nebraska",203200,74276,6655,31,099
"Keith County, Nebraska",158900,59511,8303,31,101
"Keya Paha County, Nebraska",109000,63977,987,31,103
"Kimball County, Nebraska",92500,53151,3395,31,105
"Knox County, Nebraska",112700,61250,8415,31,107
"Lancaster County, Nebraska",239900,70387,322063,31,109
"Lincoln County, Nebraska",167900,63019,34532,31,111
"Logan County, Nebraska",123600,69250,839,31,113
"Loup County, Nebraska",116500,50000,629,31,115
"McPherson County, Nebraska",105300,58250,456,31,117
"Madison County, Nebraska",187100,61139,35538,31,119
"Merrick County, Nebraska",159300,57873,7675,31,121
"Morrill County, Nebraska",107700,57325,4562,31,123
"Nance County, Nebraska",108000,60054,3366,31,125
"Nemaha County, Nebraska",118300,57196,7019,31,127
"Nuckolls County, Nebraska",88500,66000,4092,31,129
"Otoe County, Nebraska",172500,73031,15995,31,131
"Pawnee County, Nebraska",74000,55833,2553,31,133
"Perkins County, Nebraska",143300,61786,2860,31,135
"Phelps County, Nebraska",161300,65114,8966,31,137
"Pierce County, Nebraska",167400,65603,7301,31,139
"Platte County, Nebraska",195800,69943,34219,31,141
"Polk County, Nebraska",152700,67695,5182,31,143
"Red Willow County, Nebraska",144700,58344,10690,31,145
"Richardson County, Nebraska",89500,50321,7850,31,147
"Rock County, Nebraska",87300,57566,1312,31,149
"Saline County, Nebraska",155800,71104,14275,31,151
"Sarpy County, Nebraska",263000,95911,191272,31,153
"Saunders County, Nebraska",220600,84474,22374,31,155
"Scotts Bluff County, Nebraska",150600,60137,36048,31,157
"Seward County, Nebraska",208700,79677,17644,31,159
"Sheridan County, Nebraska",96900,53609,5102,31,161
"Sherman County, Nebraska",112500,60194,2970,31,163
"Sioux County, Nebraska",157800,50833,1162,31,165
"Stanton County, Nebraska",170900,76035,5828,31,167
"Thayer County, Nebraska",91600,60305,5006,31,169
"Thomas County, Nebraska",140600,70069,592,31,171
"Thurston County, Nebraska",90000,63459,6716,31,173
